Package Name,Category,Status,Recommendation,Justification,Dependencies,Priority
@dibdab/extension-mention,Advanced,Active,REMOVE,@mentions - social feature,core + suggestion,LOW
@dibdab/extension-typography,Advanced,Active,REMOVE,Smart quotes/dashes - nice-to-have,core,LOW
@dibdab/extension-invisible-characters,Debug,Active,REMOVE,Show whitespace - debugging tool,core,LOW
@dibdab/extension-collaboration,Collaboration,Active,REMOVE,Real-time collaboration - complex,core + yjs,LOW
@dibdab/extension-collaboration-caret,Collaboration,Active,REMOVE,Show other users cursors,core + yjs,LOW
@dibdab/extension-bubble-menu,UI,Active,KEEP,Context menu on selection - great UX,core,HIGH
@dibdab/extension-floating-menu,UI,Active,KEEP,Floating menu - useful for UX,core,MEDIUM
@dibdab/extension-drag-handle,UI,Active,REMOVE,Framework-agnostic drag handle,core,LOW
@dibdab/extension-drag-handle-react,UI,Active,KEEP,React drag handles - useful for reordering,core + react,HIGH
@dibdab/extension-drag-handle-vue-2,UI,Active,REMOVE,Vue 2 drag handles,core + vue-2,LOW
@dibdab/extension-drag-handle-vue-3,UI,Active,REMOVE,Vue 3 drag handles,core + vue-3,LOW
@dibdab/extension-file-handler,Utility,Active,EVALUATE,File drag-drop - could be useful,core,MEDIUM
@dibdab/extension-unique-id,Utility,Active,EVALUATE,Node tracking - might be needed for canvas,core,MEDIUM
@dibdab/extension-node-range,Utility,Active,REMOVE,Node range utilities - unclear usage,core,LOW
@dibdab/starter-kit,Bundle,Active,REMOVE,Bundles many extensions we're removing,core + many,LOW
@dibdab/extension-character-count,Utility,Deprecated,REMOVE,Now in @dibdab/extensions,core,N/A
@dibdab/extension-dropcursor,Utility,Deprecated,REMOVE,Now in @dibdab/extensions,core,N/A
@dibdab/extension-focus,Utility,Deprecated,REMOVE,Now in @dibdab/extensions,core,N/A
@dibdab/extension-gapcursor,Utility,Deprecated,REMOVE,Now in @dibdab/extensions,core,N/A
@dibdab/extension-history,Utility,Deprecated,REMOVE,Now in @dibdab/extensions (undo-redo),core,N/A
@dibdab/extension-list-item,List,Deprecated,REMOVE,Deprecated,core,N/A
@dibdab/extension-list-keymap,List,Deprecated,REMOVE,Deprecated,core,N/A
@dibdab/extension-placeholder,Utility,Deprecated,REMOVE,Now in @dibdab/extensions,core,N/A
@dibdab/extension-table-cell,Table,Deprecated,REMOVE,Deprecated,core,N/A
@dibdab/extension-table-header,Table,Deprecated,REMOVE,Deprecated,core,N/A
@dibdab/extension-table-row,Table,Deprecated,REMOVE,Deprecated,core,N/A
@dibdab/extension-task-item,List,Deprecated,REMOVE,Deprecated,core,N/A
@dibdab/extension-task-list,List,Deprecated,REMOVE,Deprecated,core,N/A
